Name	Path_to_bam	Path_to_bed	spikeCount	dmCount	RPS	RelativeSignal	RPGC	SRPMC	Batch
Set8rg_K20me1_rep1	Set8rg_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	Set8rg_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	4400	12481654	2836.739545	0.81	11.056227	9	1
Set8rg_K20me1_rep2	Set8rg_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	Set8rg_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	6506	8794264	1351.715955	0.33	15.69204654	5.2	1
Set8rg_K20me1_rep3	Set8rg_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	Set8rg_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	1924	8268654	4297.637214	0.72	16.68953617	12	1
HWT_K20me1_rep1	HWT_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	HWT_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	19216	14106688	734.1115737	1	9.782593902	9.8	1
HWT_K20me1_rep2	HWT_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	HWT_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	8978	9337988	1040.096681	1	14.77834411	14.8	1
K20R_K20me1_rep1	K20R_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	K20R_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	99916	13228646	132.397674	0.18	10.43190664	1.9	1
K20R_K20me1_rep2	K20R_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	K20R_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	39880	8476638	212.5536108	0.2	16.28003933	3.3	1
K20R_K20me1_rep3	K20R_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	K20R_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	23390	3709350	158.587003	0.15	37.20328359	5.6	1
HWT_His4rnull_K20me1_rep1	HWT_His4rnull_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	HWT_His4rnull_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	2954	20371828	6896.353419	1	6.774060727	6.8	2
HWT_His4rnull_K20me1_rep2	HWT_His4rnull_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	HWT_His4rnull_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	1708	10977112	6426.880562	1	12.57161264	12.6	2
HWT_His4rnull_K20me1_rep3	HWT_His4rnull_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	HWT_His4rnull_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	1502	16566944	11029.92277	1	8.329840434	8.3	2
K20A_K20me1_rep1	K20A_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	K20A_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	10964	7835362	714.6444728	0.11	17.61246002	1.9	2
K20A_K20me1_rep2	K20A_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	K20A_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	12222	15359474	1256.707086	0.11	8.984682679	1	2
K20R_His4rnull_K20me1_rep1	K20R_His4rnull_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	K20R_His4rnull_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	37118	2132380	57.44867719	0.01	64.71642015	0.6	2
K20R_His4rnull_K20me1_rep2	K20R_His4rnull_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	K20R_His4rnull_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	22588	1387136	61.41030636	0.01	99.48555873	1	2
			yeast reads	fly reads	fly reads/yeast reads	mutant RPS/ctrl RPS	137547960/fly reads	RelSig*RPGC	
